COSMIC_GENE_ID	GENE_SYMBOL	GENE_ACCESSION	ENTREZ_ID	HGNC_ID	IN_CANCER_CENSUS	IS_EXPERT_CURATED
COSG57968	AL133268.3	ENSG00000229313.1			n	n
COSG57969	RNU6-831P	ENSG00000207278.1		47794	n	n
COSG57985	CYC1	ENSG00000179091.4	1537	2579	n	n
COSG58010	AC092587.1	ENSG00000273155.1			n	n
COSG58012	OR2T6	ENSG00000198104.3	254879	15018	n	n
COSG58868	ROCK1P1	ENSG00000263006.6		37832	n	n
COSG58881	AL591135.1	ENSG00000218418.2			n	n
COSG58923	AL049835.1	ENSG00000258490.1			n	n
COSG59506	GAPDHP56	ENSG00000249018.2		38562	n	n
COSG59512	FKBP6	ENSG00000077800.11	8468	3722	n	n
COSG59515	SNORD3J	ENSG00000221400.2		52243	n	n
COSG59519	RN7SKP50	ENSG00000201564.1		45774	n	n
COSG59521	LINC01720	ENSG00000231175.1		52507	n	n
COSG60444	AL352955.1	ENSG00000258496.1			n	n
COSG60453	ADAT3	ENSG00000213638.5	113179	25151	n	n
COSG60458	ARMC1	ENSG00000104442.9	55156	17684	n	n
COSG60467	RF00019	ENSG00000200332.1			n	n
COSG60468	TEX38	ENSG00000186118.8	374973	29589	n	n
COSG60481	RNU6-607P	ENSG00000223215.1		47570	n	n
COSG60489	AL592293.2	ENSG00000234297.2			n	n
COSG60503	CHMP6	ENSG00000176108.9	79643	25675	n	n
COSG60507	SNORD66	ENSG00000212158.1		32727	n	n
COSG60509	AC134879.3	ENSG00000275828.1			n	n
COSG60514	RF01293	ENSG00000251775.1			n	n
COSG58035	AC104985.1	ENSG00000267746.1			n	n
COSG58065	MIR422A	ENSG00000199156.1		31879	n	n
COSG58068	AC073592.3	ENSG00000279071.1			n	n
COSG58104	AC090236.2	ENSG00000267504.1			n	n
COSG58947	SNAI1P1	ENSG00000237194.1		11129	n	n
COSG58995	AC105129.3	ENSG00000270690.1			n	n
COSG59584	AC068279.1	ENSG00000224881.1			n	n
COSG59593	MIR4730	ENSG00000264961.1		41880	n	n
COSG59599	AL591503.2	ENSG00000232009.1			n	n
COSG61011	FANCM	ENSG00000187790.10	57697	23168	n	n
COSG61021	AC128688.1	ENSG00000244144.1			n	n
COSG61024	C6orf89	ENSG00000198663.16	221477	21114	n	n
COSG58116	RNU6-329P	ENSG00000238882.1		47292	n	n
COSG58134	AC018809.1	ENSG00000269894.1			n	n
COSG58167	AC009452.1	ENSG00000284242.1			n	n
COSG58168	EIF4E2P1	ENSG00000213384.2		16237	n	n
COSG58180	FIS1	ENSG00000214253.8	51024	21689	n	n
COSG58181	MUCL1	ENSG00000172551.10	118430	30588	n	n
COSG59014	ZNF507	ENSG00000168813.16	22847	23783	n	n
COSG59046	IGHV4-80	ENSG00000283906.1		5656	n	n
COSG59064	AL109797.1	ENSG00000223714.1			n	n
COSG59627	AL355916.1	ENSG00000232774.7			n	n
COSG59640	FLYWCH1P1	ENSG00000239516.1		38033	n	n
COSG59645	MACC1	ENSG00000183742.12	346389	30215	n	n
COSG59670	TNFSF8	ENSG00000106952.7	944	11938	n	n
COSG59678	MIR5186	ENSG00000264330.1		43459	n	n
COSG60018	LINC02531	ENSG00000220908.2		53557	n	n
COSG60030	AC116050.1	ENSG00000143429.10			n	n
COSG60045	AL137003.1	ENSG00000229931.1			n	n
COSG60047	GGTLC1	ENSG00000149435.12	92086	16437	n	n
COSG60050	HMGN1P20	ENSG00000239539.1		39364	n	n
COSG60061	BRIX1	ENSG00000113460.12	55299	24170	n	n
COSG58185	AC116345.1	ENSG00000249743.5			n	n
COSG58252	AC018638.3	ENSG00000241493.1			n	n
COSG59139	CIAO2A	ENSG00000166797.10	84191	26235	n	n
COSG59141	SNORD115-7	ENSG00000278089.1		33026	n	n
COSG59694	RPS4XP2	ENSG00000226948.1		16563	n	n
COSG59719	HSD17B14	ENSG00000087076.8	51171	23238	n	n
COSG59725	LINC02287	ENSG00000258499.1		53204	n	n
COSG59737	AC084866.1	ENSG00000249955.1			n	n
COSG60564	AC092675.2	ENSG00000227987.1			n	n
COSG60565	RN7SL697P	ENSG00000264484.2		46713	n	n
COSG60580	RN7SKP64	ENSG00000253015.1		45788	n	n
COSG60586	MARVELD3	ENSG00000140832.9	91862	30525	n	n
COSG58263	AL132822.1	ENSG00000276093.1			n	n
COSG58276	AC009804.1	ENSG00000274879.1			n	n
COSG58290	DPP7	ENSG00000176978.13	29952	14892	n	n
COSG58300	C17orf58	ENSG00000186665.9	284018	27568	n	n
COSG58303	HLA-H	ENSG00000206341.7		4965	n	n
COSG58321	Z99129.2	ENSG00000277408.1			n	n
COSG58327	DYNC1LI1	ENSG00000144635.8	51143	18745	n	n
COSG59173	TFAP2A-AS1	ENSG00000229950.1		40579	n	n
COSG59190	B4GALT5	ENSG00000158470.5	9334	928	n	n
COSG59196	MIR21	ENSG00000284190.1		31586	n	n
COSG59198	IL17B	ENSG00000127743.5	27190	5982	n	n
COSG59211	MIR516A1	ENSG00000207767.3		32130	n	n
COSG59764	CACNG4	ENSG00000075461.5	27092	1408	n	n
COSG59792	MIR548A3	ENSG00000208032.1		32798	n	n
COSG59827	SNX18P8	ENSG00000231390.1		39616	n	n
COSG59836	AC004223.2	ENSG00000267457.1			n	n
COSG59838	AC004834.1	ENSG00000284523.1			n	n
COSG61033	AL135923.2	ENSG00000231902.1			n	n
COSG61038	RNY1P5	ENSG00000206617.1		42482	n	n
COSG61049	AC011676.3	ENSG00000254197.1			n	n
COSG61075	AP001271.2	ENSG00000279459.1			n	n
COSG61093	AC026785.2	ENSG00000248223.1			n	n
COSG61102	FP236383.2	ENSG00000280614.1			n	n
COSG66238	CLMN	ENSG00000165959.11	79789	19972	n	n
COSG66241	DLL1	ENSG00000198719.8	28514	2908	n	n
COSG66246	ACTL9	ENSG00000181786.4	284382	28494	n	n
COSG66247	RNU6-698P	ENSG00000200393.1		47661	n	n
COSG66251	NIFKP1	ENSG00000214434.2		44949	n	n
COSG66263	EIF2S3	ENSG00000130741.10	1968	3267	n	n
COSG62603	RBMY2XP	ENSG00000234399.1		23901	n	n
COSG62607	AC004801.1	ENSG00000226138.4			n	n
COSG62608	C8orf88	ENSG00000253250.2	100127983	44672	n	n
COSG62615	LINC01514	ENSG00000237579.2		51207	n	n
COSG62623	AL121928.1	ENSG00000273262.1			n	n
COSG63814	SLC5A8	ENSG00000256870.2	160728	19119	n	n
COSG63821	C5orf47	ENSG00000185056.9	133491	27026	n	n
COSG63835	AC245164.1	ENSG00000253805.1			n	n
COSG63853	TRAV12-1	ENSG00000211785.1		12105	n	n
COSG63863	DCTN1	ENSG00000204843.12	1639	2711	y	n
COSG65021	ALDH6A1	ENSG00000119711.12	4329	7179	n	n
COSG65032	PRDX3P2	ENSG00000231468.2		39265	n	n
COSG65033	DOCK9-AS1	ENSG00000229918.1		40672	n	n
COSG65057	MIR548H2	ENSG00000221801.1		35343	n	n
COSG66276	AC000111.2	ENSG00000237974.1			n	n
COSG66285	LYPLAL1-DT	ENSG00000228063.1		50560	n	n
COSG66290	PLPBP	ENSG00000147471.11	11212	9457	n	n
COSG66303	CD3EAP	ENSG00000117877.10	10849	24219	n	n
COSG66304	AC006326.1	ENSG00000230785.2			n	n
COSG66323	CACFD1	ENSG00000160325.14	11094	1365	n	n
COSG66331	AC105219.4	ENSG00000254973.1			n	n
COSG62674	TCTN3	ENSG00000119977.20	26123	24519	n	n
COSG62676	MIR4673	ENSG00000263403.1		41574	n	n
COSG62708	SCFD2	ENSG00000184178.15	152579	30676	n	n
COSG62726	LIF	ENSG00000128342.4	3976	6596	n	n
COSG63872	AL591704.2	ENSG00000224784.2			n	n
COSG63900	SAE1	ENSG00000142230.11	10055	30660	n	n
COSG63914	AC007541.1	ENSG00000260329.1			n	n
